"","id","group","median_speed","distance_traveled_mm_p_min","turning_angle","meander","activitytime_TT","act_bouts_TT","pause_length_TT","numb_pauses_TT","centrophobism_moving","centrophobism_sitting","number_of_walks","stripe_deviation"
"74","173_CS_JC","BB_CS_JC",16.0355542723388,596.558487636564,7.40057494727289,0.457856203965189,223.200000047684,2.89999985694885,5.04999995231628,8,-0.0584450402144772,-0.391915641476274,13,17.7606835631277
"75","174_CS_TP","BB_CS_TP",16.9615155403158,586.769065110316,6.69890688993955,0.379371592967417,215.100000143051,3.09999990463257,2.5,21,0.185882352941176,0.769408147578786,15,20.1341557622766
"76","175_CS_TZ","BB_CS_TZ",14.574637974647,638.596364234361,6.4924572837081,0.421542523805511,264.599999666214,12.6000000238419,1.80000019073486,11,0.279411764705882,0.920193470374849,17,23.5823534106456
"77","176_CS_HS","BB_CS_HS",14.6670790517895,715.948586365928,5.74718080493435,0.375508947635175,276.299999713898,1.70000004768372,2.44999992847443,8,-0.216922438822066,0.310810810810811,26,10.6898647178656
"78","177_CS_BvS","BB_CS_BS",11.1831816083075,295.564621064767,8.58954758151047,0.685841999534026,179.700000524521,4.65000009536743,2,13,-0.0699186991869919,0.692047377326565,9,15.9578942277832
"79","178_CS_JC","BB_CS_JC",14.7949501262042,384.365226442062,9.2281043930391,0.603128895196999,167.299999713898,0.799999952316284,2.30000007152557,36,-0.269139700078927,-0.615207373271889,7,23.9289368479023
"80","179_CS_TP","BB_CS_TP",16.4348856326745,669.850566791902,7.74726465294654,0.459000285174351,245.000000238419,2.20000004768372,2.70000004768372,17,0.746633416458853,0.993975903614458,16,33.7912786489766
"81","180_CS_TZ","BB_CS_TZ",15.2678025456772,658.786259689126,6.88104840212131,0.430705840286032,270.499999284744,5.79999995231628,2.65000009536743,6,-0.0336763330215154,0.780346820809249,24,20.1212475582819
"82","181_CS_HS","BB_CS_HS",12.1481770958885,404.423814380178,8.78116273438554,0.677023741220986,234.799999713898,1.84999990463257,1.40000009536743,33,-0.445,-0.194583036350677,13,12.4400911273408
"83","182_CS_BvS","BB_CS_BS",15.8763161051239,634.584673431693,6.43990850421539,0.38549290883165,228.700000524521,4.10000014305115,2.09999990463257,19,-0.285063291139241,-0.398832684824903,25,17.2965222280525
"84","183_CS_JC","BB_CS_JC",17.9710045683641,555.869889398988,7.13189279917971,0.376794812870016,189.900000333786,1.60000014305115,2.54999995231628,20,0.263427109974425,0.299513551077137,13,18.3539034238629
"85","184_CS_TP","BB_CS_TP",15.1926234899312,556.46302233439,6.77113261487924,0.432411509841257,241.899999380112,3.69999980926514,2.45000004768372,22,0.20920278223649,0.948853615520282,15,20.9337305934721
"86","185_CS_TZ","BB_CS_TZ",13.8707038952616,438.424073397054,7.11403424692704,0.487625703070216,221.39999961853,11.2999999523163,3.15000009536743,10,0.430582213691619,0.911111111111111,11,23.3452290191311
"87","186_CS_HS","BB_CS_HS",12.4101177650872,657.520093019186,7.62688198473517,0.572545843045144,298.099999666214,149.049999833107,1.80000019073486,1,-0.345579793340987,0.512820512820513,24,9.69587481916629
"88","187_CS_BvS","BB_CS_BS",15.7580685195642,763.403703583431,5.65631153771579,0.34915658598164,287.300000190735,50.5,1.20000004768372,5,-0.213262382316824,0.935714285714286,30,13.7399876835485
"89","188_CS_JC","BB_CS_JC",12.9252977266091,476.95363174217,7.96607786778596,0.583992713771728,242.700000047684,0.700000047683716,2.5,17,0.291278113000549,-0.120338983050847,9,22.16446903001
"90","189_CS_TP","BB_CS_TP",17.4087822680564,744.896173688111,6.21220379364394,0.346262545611655,256.199999809265,16.2999999523163,2.70000004768372,12,0.211151736745887,0.550920245398773,15,20.5182451485512
"91","190_CS_TZ","BB_CS_TZ",15.0502560264147,606.250439919312,6.38657006652261,0.408078175215557,258.999999523163,7.90000009536743,1.75,14,0.558312655086849,0.939271255060729,15,31.3899359661028
